id,mediaType,title,section,useCase,aspectRatio,trackType,appealTags,relatabilityTags,scenarioTags,diversityTags,thumbnail
FS-014,image,Couple Enjoying the Next Chapter,Family / Legacy,Post-planning / outcomes section,16:9,,Hopeful; Confident; Calm; Togetherness; Aspirational,Couples; Spouses; Families; Near-Retirees,Life After Retirement; Family Legacy; Transition into Retirement,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-015,image,Federal Retirement Workshop,Workshops / Training,Seminar / training section,16:9,,Educational; Community; Trustworthy; Expertise; Empowering,Seminar Attendees; Agency Workforce; Federal Employees; Military Retirees; USPS-Style Workers,Workshop; Federal Training; Retirement Benefits,White; Black; Latino; Asian; Multiracial; Mixed Group,/artworks/generated/FS-015_federal_workshop.png
FS-016,image,Lunch-and-Learn / Agency Training,Workshops / Training,Agency training section,16:9,,Learning; Supportive; Guidance; Workforce Education; Approachable,Agency Workforce; Seminar Attendees; Federal Employees; Public Servants,Workshop; Federal Training; Retirement Benefits,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-017,image,Saluting the Flag,Service & Honor,Patriotic / service-to-retirement section,16:9,,Patriotic; Service; Honor; Pride; Dignified; Inspirational,Public Servants; Military Retirees; Federal Employees; Near-Retirees,Service and Honor; Patriotic Imagery; Transition into Retirement,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-018,image,Watching a Military Ship Sail Off,Service & Honor,Emotional transition / hero alternative,16:9,,Reflective; Service; Transition; Next Chapter; Hopeful,Military Retirees; Public Servants; Federal Employees; Near-Retirees,Service and Honor; Patriotic Imagery; Transition into Retirement,White; Black; Latino; Asian; Multiracial; Mixed Group,
MU-001,music,Federal Service to Retirement Theme,Suno Music Concepts,Main brand / hero background music,,Instrumental cinematic brand bed,Service; Pride; Dignified; Transition; Confident,Public Servants; Federal Employees; Military Retirees; USPS-Style Workers,Service and Honor; Transition into Retirement; Patriotic Imagery,,
MU-002,music,From Concern to Clarity,Suno Music Concepts,Problem-to-solution videos,,Instrumental emotional transition bed,Uncertainty; Resolution; Reassuring; Clear; Hopeful,Federal Employees; Near-Retirees; Couples; Spouses,Concern to Clarity; Reviewing Paperwork; Retirement Benefits,,
MU-003,music,Saluting the Flag,Suno Music Concepts,Patriotic service clip,,Instrumental restrained patriotic cue,Honor; Pride; Gratitude; Patriotic; Dignified,Public Servants; Military Retirees; Federal Employees,Service and Honor; Patriotic Imagery,,
MU-004,music,Military Ship Sailing Away,Suno Music Concepts,Transition / reflective service clip,,Instrumental cinematic reflective cue,Reflective; Legacy; Transition; Peaceful; Optimistic,Military Retirees; Public Servants; Near-Retirees,Service and Honor; Transition into Retirement,,
MU-005,music,Federal Benefits Workshop,Suno Music Concepts,Seminar / workshop promo,,Instrumental corporate education bed,Learning; Trustworthy; Professional; Confident; Empowering,Seminar Attendees; Agency Workforce; Federal Employees,Workshop; Federal Training; Retirement Benefits,,
MU-006,music,Family Legacy Theme,Suno Music Concepts,Family / grandkids / life after retirement,,Instrumental warm family bed,Love; Legacy; Security; Warm; Peace of Mind,Grandparents; Families; Couples; Spouses,Family Legacy; Life After Retirement,,
MU-007,music,Postal Worker Retirement,Suno Music Concepts,Postal-style worker video,,Instrumental documentary lifestyle bed,Humble Service; Warm; Reflective; Dignified; Peaceful,USPS-Style Workers; Federal Employees; Public Servants,Service and Honor; Transition into Retirement,,
MU-008,music,Federal Judge / Professional Retirement,Suno Music Concepts,Judge / senior professional clip,,Instrumental refined professional cue,Authority; Wisdom; Calm; Professional; Dignified,Federal Judges; Civilian Professionals; Public Servants,Reviewing Paperwork; Transition into Retirement,,
